"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1743","Normal/Others","WS/MP084/2024-2025/38618-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Road development work,  Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","499400","13-Sep-2024"
"1744","Normal/Others","WS/MP084/2024-2025/38619-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","491858","13-Sep-2024"
"1745","Normal/Others","WS/MP084/2024-2025/38620-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","19-Oct-2023","499400","13-Sep-2024"
"1746","Normal/Others","WS/MP084/2025-2026/38658-Lighting of public spaces","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","12/12.5 meter high mast light installation.","19-Oct-2023","500000","30-Aug-2025"
"1747","Normal/Others","WS/MP084/2025-2026/38659-Lighting of public spaces","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","12/12.5 meter high mast light installation work.","19-Oct-2023","500000","30-Aug-2025"
"1748","Normal/Others","WS/MP084/2025-2026/38660-Lighting of public spaces","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","12/12.5 meter high mast light installation work.","19-Oct-2023","500000","30-Aug-2025"
"1749","Normal/Others","WS/MP084/2025-2026/38661-Lighting of public spaces","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","12/12.5 meter high mast light installation.","19-Oct-2023","500000","30-Aug-2025"
"1750","Normal/Others","WS/MP084/2024-2025/38666-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work.","19-Oct-2023","500000","10-Jul-2024"
"1751","Normal/Others","WS/MP084/2024-2025/38667-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work from Tavarekere village to Magadi main road.","19-Oct-2023","500000","10-Jul-2024"
"1752","Normal/Others","WS/MP140/2023-2024/38691-Setting up of community effluent treatment plants","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","Regarding Sewarage Pipeline in Village Cheema near Kartarpur.","19-Oct-2023","500000","23-Nov-2023"
"1753","Normal/Others","WS/MP084/2024-2025/38757-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Road development work, Ramohalli, Ramohalli Grama Panchayat, Kengeri Hobli, Bangalore South Taluk, Bangalore Urban.","19-Oct-2023","499617","20-Mar-2025"
"1754","Normal/Others","WS/MP084/2024-2025/38758-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Road development work, Ramohalli Village, Ramohalli Grama Panchayat, Kengeri Hobli, Bangalore South Taluk, Bangalore Urban.","19-Oct-2023","499617","20-Mar-2025"
"1755","Normal/Others","WS/MP084/2024-2025/38759-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Road development work, Ramohalli Village, Ramohalli Grama Panchayat, Bangalore South Taluk, Bangalore Urban.","19-Oct-2023","500000","11-Sep-2024"
"1756","Normal/Others","WS/MP084/2024-2025/38760-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Link road development work, Ramohalli Village, Ramohalli Grama Panchayat, Bangalore South Taluk, Bangalore Urban.","19-Oct-2023","500000","11-Sep-2024"
"1757","Normal/Others","WS/MP084/2024-2025/38761-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Road development work, Tavarekere Village, Tavarekere Grama Panchayat, Bangalore South Taluk, Bangalore Urban.","19-Oct-2023","500000","10-Jul-2024"
"1758","Normal/Others","WS/MP084/2024-2025/38762-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete drain construction work.","19-Oct-2023","494561","02-Jul-2024"
"1759","Normal/Others","WS/MP084/2024-2025/39207-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete road development work, Lakkuppe Village, Channenahalli Grama Panchayat, Bangalore South Taluk, Bangalore Urban.","20-Oct-2023","500000","05-Jul-2024"
"1760","Normal/Others","WS/MP084/2024-2025/39208-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete road development work, Lakkuppe Village, Channenahalli Grama Panchayat, Bangalore South Taluk, Bangalore Urban.","20-Oct-2023","500000","05-Jul-2024"
"1761","Normal/Others","WS/MP084/2024-2025/39229-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work.","20-Oct-2023","498420","13-Sep-2024"
"1762","Normal/Others","WS/MP084/2024-2025/39230-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete road development work.","20-Oct-2023","498901","13-Sep-2024"
"1763","Normal/Others","WS/MP084/2024-2025/39231-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work.","20-Oct-2023","499365","13-Sep-2024"
"1764","Normal/Others","WS/MP084/2024-2025/39232-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work.","20-Oct-2023","499365","13-Sep-2024"
"1765","Normal/Others","WS/MP084/2024-2025/39233-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work.","20-Oct-2023","498173","13-Sep-2024"
"1766","Normal/Others","WS/MP084/2024-2025/39234-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work.","20-Oct-2023","499365","13-Sep-2024"
"1767","Normal/Others","WS/MP084/2024-2025/39235-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work.","20-Oct-2023","499365","13-Sep-2024"
"1768","Normal/Others","WS/MP084/2024-2025/39236-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work.","20-Oct-2023","499365","13-Sep-2024"
"1769","Normal/Others","WS/MP084/2024-2025/39237-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work.","20-Oct-2023","498480","13-Sep-2024"
"1770","Normal/Others","WS/MP084/2024-2025/39238-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work.","20-Oct-2023","498480","13-Sep-2024"
"1771","Normal/Others","WS/MP084/2024-2025/39273-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work.","20-Oct-2023","500000","10-Jul-2024"
"1772","Normal/Others","WS/MP084/2024-2025/39274-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete road development work.","20-Oct-2023","500000","10-Jul-2024"
"1773","Normal/Others","WS/MP084/2025-2026/39275-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C C Drainage work.","20-Oct-2023","499660","10-Jul-2025"
"1774","Normal/Others","WS/MP084/2025-2026/39276-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work.","20-Oct-2023","500000","10-Jul-2025"
"1775","Normal/Others","WS/MP084/2025-2026/39277-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Covering slab installation work for open drainage.","20-Oct-2023","498998","10-Jul-2025"
"1776","Normal/Others","WS/MP084/2025-2026/39278-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Providing/installation of covering slab for open drainage.","20-Oct-2023","498229","10-Jul-2025"
"1777","Normal/Others","WS/MP084/2025-2026/39279-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Providing/installation of covering slab for open drainage.","20-Oct-2023","498486","10-Jul-2025"
"1778","Normal/Others","WS/MP084/2024-2025/39280-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Providing/insatallation of covering slab for open drainage.","20-Oct-2023","500000","10-Jul-2024"
"1779","Normal/Others","WS/MP084/2024-2025/39345-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete road development work.","21-Oct-2023","500000","10-Jul-2024"
"1780","Normal/Others","WS/MP084/2024-2025/39346-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Concrete Road development work.","21-Oct-2023","500000","10-Jul-2024"
"1781","Normal/Others","WS/MP084/2024-2025/39347-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28)","Sitting Rajya Sabha","C.C Drainage development work.","21-Oct-2023","500000","10-Jul-2024"
"1782","Normal/Others","WS/MP140/2023-2024/39816-Renovation of ponds and lakes","Punjab","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","Regarding to make solid (pakka) the village ponds. Vill Bilaspur","23-Oct-2023","1000000","17-Nov-2023"
"1783","Normal/Others","WS/MP140/2023-2024/39817-Renovation of ponds and lakes","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","Regarding to make solid (pakka) the village ponds. Vill Dalla","23-Oct-2023","1500000","03-Jan-2024"
"1784","Normal/Others","WS/MP138/2023-2024/40046-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28)","Sitting Rajya Sabha","Improvement /Construction of Road from R&B Road to Atul New Court Road, Village-Nial, G.P. Nial, Block-AUL, Distt.-Kendrapara","24-Oct-2023","500000","06-Dec-2023"
"1785","Normal/Others","WS/MP138/2023-2024/40047-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28)","Sitting Rajya Sabha","Improvement /Construction of Road from R.D. Road to Nial New Colony in Village –Nial, G.P. Nial, Block-AUL, Distt.-Kendrapara","24-Oct-2023","500000","06-Dec-2023"
"1786","Normal/Others","WS/MP138/2023-2024/40048-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28)","Sitting Rajya Sabha","Construction- C.C. Road in Dakhinadia, Harijanasahi, Village Road, G.P. - Ekamania, Block-AUL, Distt.-Kendrapara","24-Oct-2023","500000","06-Dec-2023"
"1787","Normal/Others","WS/MP203/2023-2024/40508-Providing drains and gutters for public drainage","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Darshana Singh (2022-28)","Sitting Rajya Sabha","Construction of Interlocking and Naali Cover from Baburi Chandauli Road to Well Via Halkhori House Village Sikari","25-Oct-2023","999000","07-Nov-2023"
"1788","Normal/Others","WS/MP203/2023-2024/40509-Providing drains and gutters for public drainage","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Darshana Singh (2022-28)","Sitting Rajya Sabha","Construction of Interlocking and Naali Cover from Ramashish House To North Side Naala Via Basti Village Sikari","25-Oct-2023","997000","07-Nov-2023"
"1789","Normal/Others","WS/MP203/2023-2024/40510-Renovation of ponds and lakes","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Darshana Singh (2022-28)","Sitting Rajya Sabha","Graam Sabha: Imiliya, Vikas Khand: Barahani sthit Raamdhaari Singh Dinkar Sarovar par chatth ka nirmaan kaarya  Block: Barahani","25-Oct-2023","991062","09-Nov-2023"
"1790","Normal/Others","WS/MP139/2023-2024/40610-Purchase of vans and buses for educational institutions","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27)","Sitting Rajya Sabha","Purchase of 38+1 seater bus - Make : SML-ISUZU:S7 5100 SDX BUS 38+1 - HIGHBACK SEATER BS6.","26-Oct-2023","2500000","07-Dec-2023"
"1791","Normal/Others","WS/MP202/2023-2024/40679-Lighting of public spaces","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","Mungra Badsahpur Word 14 Me Sarvjanik Pharmacy Collage Mungra Badsahpur Par 10 nag wali Vidhut Highmast Light ka Karya Sampark Sutra 7897000664","26-Oct-2023","625923","16-Nov-2023"
"1792","Normal/Others","WS/MP202/2023-2024/40680-Lighting of public spaces","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","Block Suithakala Gram ChhitamPatti Me Shree Pushpraj Singh Ke Ghar ke Nikat 10 nag wali Vidhut Highmast Light ka Karya Sampark Sutra 9839869900","26-Oct-2023","625923","16-Nov-2023"
"1793","Normal/Others","WS/MP202/2023-2024/40681-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","Shree Ramapati Upadhyay Gram udaybhanpur Block Maharajganj Me 25 KVA Transformar va  Khambha Tar Sahit Vidhutikaran Sampark Sutra 91259113877","26-Oct-2023","130000","16-Nov-2023"
